"year","position","team","points","games","victories","draws","loss","gols_for","gols_against","goal_difference","status","top_pos_5y"
"2020",1,"FLAMENGO",71,38,21,8,9,68,48,20,"top 4",4
"2020",2,"INTERNACIONAL",70,38,20,10,8,61,35,26,"top 4",2
"2020",3,"ATLÉTICO-MG",68,38,20,8,10,64,45,19,"top 4",2
"2020",4,"SÃO PAULO",66,38,18,12,8,59,41,18,"top 4",2
"2020",5,"FLUMINENSE",64,38,18,10,10,55,42,13,"mid table",1
"2020",6,"GRÊMIO",59,38,14,17,7,53,40,13,"mid table",3
"2020",7,"PALMEIRAS",58,38,15,13,10,51,37,14,"mid table",4
"2020",8,"SANTOS",54,38,14,12,12,52,51,1,"mid table",3
"2020",9,"ATHLETICO-PR",53,38,15,8,15,38,36,2,"mid table",1
"2020",10,"BRAGANTINO",53,38,13,14,11,50,40,10,"mid table",NA
"2020",11,"CEARÁ",52,38,14,10,14,54,51,3,"mid table",NA
"2020",12,"CORINTHIANS",51,38,13,12,13,45,45,0,"mid table",1
"2020",13,"ATLÉTICO-GO",50,38,12,14,12,40,45,-5,"mid table",NA
"2020",14,"BAHIA",44,38,12,8,18,48,59,-11,"mid table",NA
"2020",15,"SPORT",42,38,12,6,20,31,50,-19,"mid table",NA
"2020",16,"FORTALEZA",41,38,10,11,17,34,44,-10,"mid table",NA
"2020",17,"VASCO",41,38,10,11,17,37,56,-19,"relegation",NA
"2020",18,"GOIÁS",37,38,9,10,19,41,63,-22,"relegation",NA
"2020",19,"CORITIBA",31,38,7,10,21,31,54,-23,"relegation",NA
"2020",20,"BOTAFOGO",27,38,5,12,21,32,62,-30,"relegation",1
